video_id,comment
i4Kj9SsPRbY,❤❤❤
i4Kj9SsPRbY,What a explanation
i4Kj9SsPRbY,Nice video!! Keep it up
i4Kj9SsPRbY,yes india
i4Kj9SsPRbY,Huge concept tha per kam time clear kar diya ...ab yadi isko mind me rakh ke kitna bhi bada article padh lo bo bhi samjh aa jayega❤️
i4Kj9SsPRbY,Fantastic guys
i4Kj9SsPRbY,A.G.I Will be man's last invention
i4Kj9SsPRbY,Great India Great People
i4Kj9SsPRbY,SAB SE AAGEY HONGE HINDUSTANI YEH  BAAT HAI SAB NE MAANI.
i4Kj9SsPRbY,fantastic and superb... very well done
i4Kj9SsPRbY,i really like the presentation and the idea of First develop India.
i4Kj9SsPRbY,Simply excellent ... 😃😍
i4Kj9SsPRbY,Seriously underrated video!!!!!
i4Kj9SsPRbY,Its a great work....and interesting to understand😍...hats of u...all
i4Kj9SsPRbY,"Great  Work , Easy To Understand"
i4Kj9SsPRbY,"Fantastic Video. Hats of to ""The Makers"" of this video. Overly simplified."
i4Kj9SsPRbY,"sadly, looking back from today, this never happened. india at last minute backed off from rcep which it had been preparing the whole time with wish that by the time when the conversation settled, make in india narrative would eventually work out and make india companies compatitive enough to that of chinese ones."
i4Kj9SsPRbY,👏👏👏👏👏👏♥
i4Kj9SsPRbY,Plz do not comes india.it will takes5 years to approval.you better go to Bangladesh.They speak less.Do lot.
i4Kj9SsPRbY,"it takes a lot of time to make this kinda video
hats off man ."
i4Kj9SsPRbY,Super work ! From France 🇫🇷
i4Kj9SsPRbY,Superb work guy's 💗
i4Kj9SsPRbY,Superb video making
i4Kj9SsPRbY,Charly le moche
i4Kj9SsPRbY,"How can I download it please suggest 
??"
i4Kj9SsPRbY,Awesome 💐💐💐❤❤❤❤❤👏👏👏
i4Kj9SsPRbY,Every democracy should move their manufacturing from China to India. China is an oppressive power that'll dictate the world if we let it go on for too long.
i4Kj9SsPRbY,"It's just superb, soo fantastic and interesting.... Really hats off to u and ur efforts...."
i4Kj9SsPRbY,Amazing
i4Kj9SsPRbY,The word is just amazing for you guys 👍 out of the world ❤loved your presentation guys❤❤❤❤❤❤❤
i4Kj9SsPRbY,"Showcase your ""MADE IN INDIA"" products to the World at "" Indozy.com ""  welcome Indian manufacturers, suppliers, and exporters Register as a supplier Free. #Make in India #Vocal for Local"
i4Kj9SsPRbY,Good explanation
i4Kj9SsPRbY,"Phone company in
America:- (features),(price), made in America.
China:-(features),(price),made in China.
India:-bharath ke abhiman , made in India, jai namo."
i4Kj9SsPRbY,"https://youtu.be/2DKHqWq86qQ

Stand with #makeinindia"
i4Kj9SsPRbY,Plz watch and subscribe https://www.youtube.com/channel/UCrw5YY0lGN91VxvAtxBot4Q for detailed explanation videos of SST
i4Kj9SsPRbY,Plz share the content plz plz plzz
i4Kj9SsPRbY,Keep it up. Nice video
i4Kj9SsPRbY,"So after 5 years whats the progress?? I don't see any new companies or any new manufacturing hub as promised in this video.
Even PM modi has stopped talking about Make In India. 

So this is also one of failures like all other initiatives like skill india, startup india, etc. 

Election gaya, Baat gaya. It was just an election campaign, a jumla."
i4Kj9SsPRbY,Big round of applause What You presented simple and effective
i4Kj9SsPRbY,👑💍💎💎💎💎💎💎💎💎💎💎💍💎💍💍💍💎💎💎💎💎💎💎💎💎💎💎💎
i4Kj9SsPRbY,Well explained. But how much paper has been used🤯
i4Kj9SsPRbY,Big kudos for the efforts😊great video
i4Kj9SsPRbY,Best best best video even to oo oo interesting😘😘😘😘😘
i4Kj9SsPRbY,"It is really helpful to me, thank u so much for posting such an amazing video😁"
i4Kj9SsPRbY,Do make in india also carries foster innovation??
i4Kj9SsPRbY,great work guys really appreciable found really useful thx keep doing al d best
i4Kj9SsPRbY,Best way of presentation 👌
i4Kj9SsPRbY,👍👍👍
i4Kj9SsPRbY,Please explain what is make for india
i4Kj9SsPRbY,JET AIRWAYS CLOSED DUE TO MAKE IN INDIA....HAHAHA
dOZX3_Y4kKg,Chaina bad my India lover❤❤❤❤❤❤❤❤❤😂
dOZX3_Y4kKg,"I know India is leading on corruption, scams, call center, rape, propaganda, friction with its neighbors, unfaithfulness, Modis overseas bank accounts are getting bigger and bigger and day dreaming in the middle of the afternoon."
dOZX3_Y4kKg,Harrison Blackwell do a video about All Indian states
dOZX3_Y4kKg,"Harrison, please make a video on the political class of India. The politicians of all the dime and dozen parties are not even 4th class passed. So what else could you expect from them save rampant corruption."
dOZX3_Y4kKg,Unproductive labour is the biggest headache in india
dOZX3_Y4kKg,"""Celebrating imaginary victory"" 😁😁"
dOZX3_Y4kKg,😂😂😂
dOZX3_Y4kKg,❤😊👍👌 From India
dOZX3_Y4kKg,"moodi got no shame, that mouthpiece firstpost of his also is a rubbish news"
dOZX3_Y4kKg,"You nailed it, Man !"
dOZX3_Y4kKg,Someone should constantly remind these stinking hypocrite Hindus keep dreaming you’ll never get close to Chinese success
dOZX3_Y4kKg,"I'm so sorry for India peoples , you can not catch up with MIGHTY CHINA, and keep dreaming for the next 100 years"
dOZX3_Y4kKg,4:09 yeah I can Apply for US visa sitting in my house but I need to goto offices to pay Land taxes sadly
dOZX3_Y4kKg,"When we shot down Chinese military equipment, This was with the Indian Missiles. Please write about other countries, Biased"
dOZX3_Y4kKg,https://youtu.be/CXnvpgSHoCY?si=yYnr7iKojmB2R77k
dOZX3_Y4kKg,"Besides all these serious shameful critics and awful embarrassment, the Indian government never bit feel disgraceful to others country."
dOZX3_Y4kKg,"Made in India?

It would be covered in cow shit and that's if you're lucky to get one that clean."
dOZX3_Y4kKg,Culturally India will never be superpower ..super poppa is the right name .
dOZX3_Y4kKg,Welcome Mr. Blackwell!  Mr. Blackwell is one of the most intelligent geopolitical experts.
dOZX3_Y4kKg,Corona virus is also MADE IN CHINA 😂. But the vaccines were MADE IN INDIA
dOZX3_Y4kKg,"Zahil Modi pe laga bhonkne 
Gujrat 2002 Dohrane ki taqat Hai"
dOZX3_Y4kKg,Atleast pakistan with zero manufacturing unit and illetrate population should not lecture india on which pak itself is zero 😅
dOZX3_Y4kKg,China is the vishwaguru India will never be.
dOZX3_Y4kKg,"Boasting, scam and lies are ""make in India""."
dOZX3_Y4kKg,Modi tryed to ban this channel
